folioviv,foliohog,entidad,ubica_geo
0100984602,1,01,01001
0100984603,1,01,01001
0100984604,1,01,01001
0100984605,1,01,01001
0100984606,1,01,01001
0100990401,1,01,01001
0100990402,1,01,01001
0100990404,1,01,01001
0100990406,1,01,01001
0100999001,1,01,01001
0100999002,1,01,01001
0100999003,1,01,01001
0100999006,1,01,01001
0101007601,1,01,01001
0101007602,1,01,01001
0101007603,1,01,01001
0101007604,1,01,01001
0101007605,1,01,01001
0101007606,1,01,01001
0101013701,1,01,01001
0101013702,1,01,01001
0101013703,1,01,01001
0101013704,1,01,01001
0101013705,1,01,01001
0101014202,1,01,01001
0101014203,1,01,01001
0101014204,1,01,01001
0101014205,1,01,01001
0101014206,1,01,01001
0101025501,1,01,01001
0101025502,1,01,01001
0101025503,1,01,01001
0101025504,1,01,01001
0101025505,1,01,01001
0101025506,1,01,01001
0101026301,1,01,01001
0101026302,1,01,01001
0101026303,1,01,01001
0101026303,2,01,01001
0101026304,1,01,01001
0101026305,1,01,01001
0101026306,1,01,01001
0101032901,1,01,01001
0101032902,1,01,01001
0101032903,1,01,01001
0101032904,1,01,01001
0101032905,1,01,01001
0101063801,1,01,01001
0101063802,1,01,01001
0101063803,1,01,01001
0101063804,1,01,01001
0101063805,1,01,01001
0101063806,1,01,01001
0101067401,1,01,01001
0101067402,1,01,01001
0101067403,1,01,01001
0101067404,1,01,01001
0101083001,1,01,01001
0101083002,1,01,01001
0101083003,1,01,01001
0101083004,1,01,01001
0101083005,1,01,01001
0101083006,1,01,01001
0101086601,1,01,01001
0101086602,1,01,01001
0101086603,1,01,01001
0101086604,1,01,01001
0101086605,1,01,01001
0101086606,1,01,01001
0101096701,1,01,01001
0101096702,1,01,01001
0101096703,1,01,01001
0101096704,1,01,01001
0101096705,1,01,01001
0101096706,1,01,01001
0101103201,1,01,01001
0101103202,1,01,01001
0101103203,1,01,01001
0101103204,1,01,01001
0101103205,1,01,01001
0101113701,1,01,01001
0101113702,1,01,01001
0101113703,1,01,01001
0101113704,1,01,01001
0101113705,1,01,01001
0101113706,1,01,01001
0101115201,1,01,01001
0101115202,1,01,01001
0101115204,1,01,01001
0101115205,1,01,01001
0101115206,1,01,01001
0101135501,1,01,01001
0101135502,1,01,01001
0101135503,1,01,01001
0101135504,1,01,01001
0101135505,1,01,01001
0101135506,1,01,01001
0101152301,1,01,01001
0101152302,1,01,01001
0101152303,1,01,01001
0101152304,1,01,01001
0101152305,1,01,01001
0101152306,1,01,01001
0101173901,1,01,01001
0101173902,1,01,01001
0101173903,1,01,01001
0101173904,1,01,01001
0101173906,1,01,01001
0101175801,1,01,01001
0101175802,1,01,01001
0101175805,1,01,01001
0101175806,1,01,01001
0101200501,1,01,01001
0101200501,2,01,01001
0101200502,1,01,01001
0101200504,1,01,01001
0101200505,1,01,01001
0101204301,1,01,01001
0101204302,1,01,01001
0101204303,1,01,01001
0101204304,1,01,01001
0101204305,1,01,01001
0101204306,1,01,01001
0101206401,1,01,01001
0101206402,1,01,01001
0101206403,1,01,01001
0101206404,1,01,01001
0101206405,1,01,01001
0101215001,1,01,01001
0101215003,1,01,01001
0101215004,1,01,01001
0101215005,1,01,01001
0101215006,1,01,01001
0101218601,1,01,01001
0101218602,1,01,01001
0101218603,1,01,01001
0101218604,1,01,01001
0101218605,1,01,01001
0101218606,1,01,01001
0101228901,1,01,01001
0101228903,1,01,01001
0101228904,1,01,01001
0101228905,1,01,01001
0101228906,1,01,01001
0101233701,1,01,01001
0101233702,1,01,01001
0101233703,1,01,01001
0101233704,1,01,01001
0101233705,1,01,01001
0101233706,1,01,01001
0101251801,1,01,01001
0101251802,1,01,01001
0101251803,1,01,01001
0101251804,1,01,01001
0101251805,1,01,01001
0101251806,1,01,01001
0101262402,1,01,01001
0101262403,1,01,01001
0101262404,1,01,01001
0101262405,1,01,01001
0101263001,1,01,01001
0101263002,1,01,01001
0101263003,1,01,01001
0101263004,1,01,01001
0101263005,1,01,01001
0101263006,1,01,01001
0101300201,1,01,01001
0101300202,1,01,01001
0101300203,1,01,01001
0101300204,1,01,01001
0101300205,1,01,01001
0101300206,1,01,01001
0101319201,1,01,01001
0101319202,1,01,01001
0101319203,1,01,01001
0101319204,1,01,01001
0101319206,1,01,01001
0101329501,1,01,01001
0101329502,1,01,01001
0101329503,1,01,01001
0101329504,1,01,01001
0101329506,1,01,01001
0101345301,1,01,01001
0101345301,2,01,01001
0101345302,1,01,01001
0101345303,1,01,01001
0101345304,1,01,01001
0101345305,1,01,01001
0101345306,1,01,01001
0101348602,1,01,01001
0101348603,1,01,01001
0101348604,1,01,01001
0101348605,1,01,01001
0101348606,1,01,01001
0101363901,1,01,01001
0101363902,1,01,01001
0101363903,1,01,01001
0101363904,1,01,01001
0101363905,1,01,01001
0101363906,1,01,01001
0101373801,1,01,01001
0101373802,1,01,01001
0101373803,1,01,01001
0101373806,1,01,01001
0101374402,1,01,01001
0101374404,1,01,01001
0101374406,1,01,01001
0101375501,1,01,01001
0101375502,1,01,01001
0101375503,1,01,01001
0101375504,1,01,01001
0101375506,1,01,01001
0101410301,1,01,01001
0101410303,1,01,01001
0101410304,1,01,01001
0101410305,1,01,01001
0101410306,1,01,01001
0101415901,1,01,01001
0101415902,1,01,01001
0101415903,1,01,01001
0101415904,1,01,01001
0101415906,1,01,01001
0101417801,1,01,01001
0101417802,1,01,01001
0101417804,1,01,01001
0101417805,1,01,01001
0101417806,1,01,01001
0101425403,1,01,01001
0101425406,1,01,01001
0101430001,1,01,01001
0101430002,1,01,01001
0101430003,1,01,01001
0101430004,1,01,01001
0101435601,1,01,01001
0101435602,1,01,01001
0101435603,1,01,01001
0101435604,1,01,01001
0101435606,1,01,01001
0101439702,1,01,01001
0101439703,1,01,01001
0101439704,1,01,01001
0101439705,1,01,01001
0101439706,1,01,01001
0101440701,1,01,01001
0101440702,1,01,01001
0101440703,1,01,01001
0101440704,1,01,01001
0101440705,1,01,01001
0101440706,1,01,01001
0101449201,1,01,01001
0101449202,1,01,01001
0101449203,1,01,01001
0101449204,1,01,01001
0101449205,1,01,01001
0101449205,2,01,01001
0101449205,3,01,01001
0101449206,1,01,01001
